 "no comment"	无可奉告
 -fold	倍
 ...	者
 A lazy person will find many excuse to delay work	懒驴上磨屎尿多
 Arabia	天方
 BBQ	巴比Q
 Bai Suzhen, from Madame White Snake	白素贞
 Barshefsky, US trade negotiator	巴尔舍夫斯基
 Beat it!	滚犊子
 Berger	伯杰
 Buddhist monk	贼秃
 Central Military Commission	中央军事委员会
 Chennault, commander of Flying Tigers during World War II	陈纳德
 Chief of Staff	总参谋长
 Chinese language	中国话
 Chinese medicine	中药
 Christopher	克里斯托弗
 Department of Homeland Security	国土安全部
 Don't waste your breath.	省省吧
 Ethiopian Zone, aka Afrotropical realm	衣索比亚界
 Food and Drug Administration	食品药品监督管理局
 Fourier transform	傅立叶变换
 French kiss	喇舌
 Gandhi	甘地
 General Logistics Department	总后勤部
 General Political Department	总政治部
 General Staff Headquarters	总参谋部
 Georgia, US state	乔治亚
 Gingrich	金里奇
 Gulf	海湾
 Gulf War	海湾战争
 Han people	华胄
 How to fashion an axe handle? You need an axe	伐柯	操斧伐柯
 I	予	伲	余
 I cry!	哇靠
 I trust you have be well since we last met	别来无恙
 Indian	印第安
 Intangible Cultural Heritage	非物质文化遗产
 Islam	绿教
 Jap lover	台倭
 Japanese girl	樱花妹
 Japanese person	小日本
 KTV	K房
 Korea	棒国	棒子国
 Königsberg, capital of East Prussia on the Baltic	哥尼斯堡
 Mass	弥撒
 May I ask?	借问
 McVeigh	麦克维
 My dear friend	仁兄
 My dear young friend	仁弟
 National People's Congress	人大	全国人民代表大会
 Oh!	唷	於
 Pampers	帮宝适
 Party and government organization	党政机关
 Peace Corps	和平队
 Public Security	公安
 QQ instant messenger	扣扣
 Ramos	拉莫斯
 Reformation	宗教改革
 Riemann-Roch theorem	黎曼罗赫定理
 Riemannian geometry	黎曼几何
 Russia	毛子国
 Saint-Exupéry	圣德克旭贝里
 Sakharov	萨哈诺夫
 Sammarinese Diego, California	圣地牙哥
 Security Council	安全理事会	安理会
 Singapore	坡县
 Sir	老丈
 Taipei 臺北|台北[Tai2 bei3]	天龙国
 Terry	特利
 US dollar	美刀
 V-neck	鸡心领
 Valentine's Day, refer to the rise numb of extramarrital affair be discover on that day	擒人节
 Venus	启明星
 Western-style food	番菜
 World Cultural Heritage	世界文化遗产
 a Mexican	老墨
 a cat on a hot tin roof	热锅上的蚂蚁
 a cunning plot	花花肠子
 a day of frenetic on-line spending, such as Singles' Day	剁手节
 a developable surface	可展曲面
 a diagonal	对角线
 a fall on the buttock	屁墩儿	屁股蹲儿
 a few word	两句
 a full month	匝月
 a good deal, a lot of	诸多
 a good person, use to praise sb's moral integrity or courage	好样的
 a good wife	贤内助
 a good-for-nothing	废物点心
 a help hand	一臂之力
 a hunt party	秋狝
 a lifetime	一辈子
 a little while	少选
 a long illness make the patient into a doctor	久病成医
 a long time	八辈子	老半天
 a lot	颇多
 a moment	会子
