A B	AB
A C h E	AChE
A N O V A	ANOVA
A s t e r	Aster
ASA的	ASA
AST的	AST
B A F	あるBAF	BAF
B P	BP
B P M	BPM
B S R	BSR
B V	BV
B型	B型
C A G	CAG
C B M	CBM
C C L	CCL
C J	CJ
C O I	COI
C U D A	CUDA
C l u s t a l	Clustal
CBM井	CBM井
CI的	CI
COD去除	COD除去
COD的	COD
COD负荷	COD負荷
COI基因	COI遺伝子
CT扫描	CTスキャン
Ca离子	Caイオン
C型	C型
D G G E	DGGE
D S C	DSC
DA的	DA
DNA交叉杂交	DNAクロスハイブリダイゼーション
DNA的交叉	DNAクロス
DNA芯片	DNAミクロアレイ
DNA阳性异常	DNA陽性だ異常だ
DNA限制性	DNA制限
DNA限制性分析	DNA制限分析
E x	Ex
F I T C	FITC
G P U	GPU
G S S	GSS
GG型	GG
GG型基因	GG遺伝子
GPU工程	GPU工学
GSS来源	GSS由来
H L S	HLS
HBV的	HBV
HCV基因	HCV遺伝子
HCV基因分型	HCV遺伝子タイピング
HCV患者	HCV患者
HRT的	HRT
I U S	IUS
I/O的	I/O
Km值	Km値
L P A	LPA
M A O	MAO
M P A	MPA
M a o	Mao
MAO方式	MAO方式
MAO覆盖	MAO被覆
MBR的溶出	MBR溶出
MBR的溶出液	MBR溶出液
MRI所见	MRI所見
N J	NJ
N T U	NTU
NK细胞	NK
O N U	基づくONU	ONU
OH的	OH
OH的结构	OH構造
ONU功能	ONU機能
PCR扩增限制	PCR制限
PCR碱基	PCR塩基
PCR碱基序列	PCR塩基配列
PCR碱基序列测定	PCR塩基配列決定
PCR限制性片段	PCR制限断片
P波	P波
P波方程	P波方程式
Q E D	QED
R E	RE
R F L P	RFLP
R a n d	Rand
R e c i p e	Recipe
S C E	SCE
S F	SF
S M E	SME
S P E	SPE
S Q L	SQL
S i m u l i n k	Simulink
SAP患者	SAP患者
SEM图像	SEM画像
SI的	SI
SI的指数	SI指数
SS浓度	SS濃度
Shen表示	Shen
T G	TG
T G A	TGA
T T T	TTT
